"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.596126702E1,1.183169603E0,-9.280570149E-1,-7.236462235E-1
4.598983844E1,1.538082361E0,-1.686140776E0,-1.066952467E0
4.601840987E1,1.554575682E0,-2.118022442E0,-1.253266454E0
4.604698130E1,1.379257321E0,-2.019062281E0,-1.280755401E0
4.607555273E1,1.248532176E0,-2.068542480E0,-1.071228623E0
4.610412416E1,8.349764347E-1,-1.537700534E0,-1.252655506E0
4.613269558E1,5.338198543E-1,-1.581682801E0,-1.230053544E0
4.616126701E1,-2.596940994E-1,-1.771661878E0,-4.670828283E-1
4.618983844E1,-1.089249134E0,-1.659262776E0,5.665011406E-1
4.621840987E1,-2.449645996E0,-1.469894528E0,1.465694785E0
4.624698130E1,-3.201010227E0,-1.275639296E0,2.446133614E0
4.627555272E1,-1.742264032E0,-7.570147514E-1,3.118085384E0
4.630412415E1,-1.309160590E0,1.044426799E0,3.160234928E0
4.633269558E1,-1.452103019E0,8.226827979E-1,2.708194733E0
4.636126701E1,-1.392238259E0,-1.644754708E-1,2.443079233E0
4.638983844E1,-1.473483324E0,5.917757154E-1,2.325182199E0
4.641840986E1,-1.453935623E0,1.569770932E0,1.889635324E0
4.644698129E1,-1.144226909E0,1.997987509E0,1.507233620E0
4.647555272E1,-5.877287388E-1,2.038304567E0,7.405977249E-1
4.650412415E1,4.030947089E-1,1.972941995E0,-5.721516609E-1
4.653269558E1,1.781206727E0,-1.785253733E-1,-1.211116672E0
4.656126700E1,3.213685751E0,-1.324508548E0,-1.817095041E0
4.658983843E1,2.296777010E0,-1.139416456E0,-2.165288210E0
4.661840986E1,1.999285579E0,-2.197434902E0,9.063713253E-2
4.664698129E1,5.173265338E-1,-4.253149331E-1,1.938733608E-1
4.667555272E1,-1.393460035E0,2.619084716E-1,5.371796489E-1
4.670412414E1,-1.149190217E-1,-9.689850211E-1,1.277548313E0
4.673269557E1,1.334664226E0,-2.014786243E0,-2.313728571E0
4.676126700E1,8.557458520E-1,-1.190729022E0,-5.409975052E-1
4.678983843E1,8.801804781E-1,-1.215163708E0,-7.010442019E-1
4.681840986E1,1.389031172E0,-8.352054954E-1,-8.006152511E-1
4.684698128E1,1.759215593E0,-2.048994780E0,-1.224555731E0
4.687555271E1,1.580232024E0,-1.906663179E0,-1.459128022E0
4.690412414E1,1.487991333E0,-1.880395889E0,-1.569694638E0
4.693269557E1,1.443398237E0,-1.766775012E0,-1.421865225E0
4.696126700E1,1.030453324E0,-1.508378983E0,-1.530599236E0
4.698983842E1,3.798818290E-1,-1.767996788E0,-1.185460329E0
4.701840985E1,-5.791766047E-1,-1.746005535E0,-2.147954851E-1
4.704698128E1,-1.679955840E0,-1.741118670E0,9.660070539E-1
4.707555271E1,-2.535167217E0,-1.169348836E0,1.779068708E0
4.710412414E1,-2.703765869E0,-1.274417639E0,2.865797997E0
4.713269556E1,-1.032438636E0,3.743076921E-1,3.152904510E0
4.716126699E1,-1.263956547E0,1.015105367E0,3.321503401E0
4.718983842E1,-1.307938814E0,2.374738604E-1,2.764394283E0
4.721840985E1,-1.478981137E0,-1.547016203E-1,2.613510609E0
4.724698128E1,-1.670792818E0,1.058476806E0,1.976378083E0
4.727555270E1,-1.475926757E0,1.432937145E0,1.526781321E0
4.730412413E1,-1.115516305E0,1.739591479E0,8.426122665E-1
4.733269556E1,-4.472297132E-1,1.600314260E0,-7.735081017E-2
4.736126699E1,8.172613382E-1,1.248455882E0,-1.035798430E0
4.738983842E1,2.194151640E0,-9.836457372E-1,-1.350394011E0
4.741840984E1,3.026760817E0,-1.916437030E0,-1.746845484E0
4.744698127E1,2.016389847E0,-2.151620150E0,-1.666822195E0
4.747555270E1,1.631544709E0,-3.655570269E0,1.052978933E-1
4.750412413E1,-5.577962995E-1,1.656513810E0,2.208506823E0
4.753269556E1,-1.757535696E0,-2.214539289E0,8.841511011E-1
4.756126698E1,9.809732437E-1,-2.255467176E0,-1.159193158E0
4.758983841E1,1.233260512E0,-1.383762479E0,-3.044934273E0
4.761840984E1,8.227591515E-1,-9.842566252E-1,-4.304309189E-1
4.764698127E1,9.418778419E-1,-9.518807530E-1,-8.146651387E-1
4.767555270E1,1.574734211E0,-1.504102945E0,-1.416978240E0
4.770412412E1,2.132454157E0,-2.480876446E0,-1.589242339E0
4.773269555E1,1.846569300E0,-1.907884836E0,-1.602070451E0
4.776126698E1,1.492878318E0,-1.610393524E0,-1.521436214E0
4.778983841E1,1.139187336E0,-1.674534321E0,-1.371774316E0
4.781840984E1,3.572798073E-1,-1.947591066E0,-1.207451463E0
4.784698126E1,-5.119814277E-1,-2.435061693E0,-4.744132161E-1
4.787555269E1,-1.193706989E0,-1.848630905E0,6.141486168E-1
4.790412412E1,-1.941406131E0,-1.116203547E0,1.579315782E0
4.793269555E1,-2.693992138E0,-1.724014401E0,2.471179008E0
4.796126698E1,-1.358029842E0,1.831832170E0,2.846250296E0
4.798983840E1,-9.456957579E-1,7.689266205E-1,3.597003698E0
4.801840983E1,-1.779526830E0,1.373072386E0,2.886567354E0
4.804698126E1,-1.643914700E0,3.645338416E-1,2.571360826E0
4.807555269E1,-1.723327160E0,5.978843570E-1,2.138868332E0
4.810412412E1,-1.461876869E0,1.159269571E0,1.688049793E0
4.813269554E1,-1.208978653E0,1.768913031E0,1.151710033E0
4.816126697E1,-5.266422033E-1,2.082897663E0,2.928335369E-1
4.818983840E1,5.796347857E-1,1.581988215E0,-6.063601375E-1
4.821840983E1,2.009670258E0,-4.216497242E-1,-1.434693336E0
4.824698126E1,2.912529230E0,-1.161407590E0,-1.876348972E0
4.827555268E1,1.985846519E0,-9.842566252E-1,-1.822592854E0
4.830412411E1,1.997452974E0,-3.061198473E0,7.986299396E-1
4.833269554E1,6.596581340E-1,-1.089325428E0,1.859321147E-1
4.836126697E1,-1.447216153E0,-1.489442229E0,1.530446529E0
4.838983840E1,1.538616866E-1,-1.075886369E0,1.965382576E0
4.841840982E1,1.356044531E0,-2.407572746E0,-2.613052368E0
4.844698125E1,7.677812576E-1,-1.010523796E0,-1.818927646E0
4.847555268E1,6.767623425E-1,-1.195616007E0,-1.074893713E0
4.850412411E1,1.429959178E0,-8.761335015E-1,-8.201629519E-1
4.853269554E1,1.901547194E0,-2.215760946E0,-1.504332066E0
4.856126696E1,1.768378496E0,-2.069153309E0,-1.716302276E0
4.858983839E1,1.566792965E0,-1.877952456E0,-1.850692630E0
4.861840982E1,1.282129765E0,-1.454012036E0,-1.454851985E0
4.864698125E1,7.115816474E-1,-1.308015227E0,-1.274035811E0
4.867555268E1,-9.781479836E-2,-1.791820526E0,-7.150941491E-1
4.870412410E1,-9.518043995E-1,-1.632995486E0,3.368158340E-1
4.873269553E1,-1.683010101E0,-8.938485980E-1,1.290987372E0
4.876126696E1,-2.385505199E0,-1.843133211E0,2.054569006E0
4.878983839E1,-2.453922033E0,-4.234823287E-1,2.672153711E0
4.881840982E1,-4.289037585E-1,3.352122903E-1,3.582953691E0
4.884698124E1,-1.305495381E0,1.941024363E-1,3.445508957E0
4.887555267E1,-1.645136476E0,1.277166486E0,2.522491693E0
