"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.009155551E0,-2.464917660E0,1.315651059E0,1.377119303E0
3.019155551E0,-2.407496214E0,1.610698938E0,1.210963964E0
3.029155551E0,-2.238286734E0,1.429271936E0,1.015487075E0
3.039155551E0,-1.984777570E0,7.933612466E-1,7.980191112E-1
3.049155551E0,-1.646969080E0,-2.060143054E-1,6.104834676E-1
3.059155584E0,-1.215698242E0,-1.262811184E0,5.842162371E-1
3.069155584E0,-6.860780120E-1,-1.940871596E0,8.084037900E-1
3.079155584E0,-9.109527618E-2,-2.070374966E0,1.044197798E0
3.089155584E0,3.377321362E-1,-1.908495784E0,1.050306439E0
3.099155584E0,3.804926872E-1,-1.612226129E0,9.794460535E-1
3.109155550E0,1.367574632E-1,-1.163240194E0,9.220247269E-1
3.119155550E0,-1.692860276E-1,-6.391177773E-1,8.212319613E-1
3.129155550E0,-3.830888569E-1,-1.382082552E-1,6.898959279E-1
3.139155550E0,-4.417319298E-1,1.873829067E-1,6.147595048E-1
3.149155550E0,-3.830888569E-1,3.480404615E-1,6.214790344E-1
3.159155550E0,-3.531564772E-1,5.367978215E-1,6.556875110E-1
3.169155550E0,-3.543781936E-1,6.766859889E-1,6.666830778E-1
3.179155550E0,-3.849214613E-1,7.878634334E-1,6.508005857E-1
3.189155550E0,-4.289037585E-1,8.703302741E-1,6.172029972E-1
3.199155550E0,-4.606687427E-1,9.277516007E-1,5.396230817E-1
3.209155550E0,-4.692208767E-1,9.796751142E-1,4.272238910E-1
3.219155550E0,-4.508949220E-1,9.949467778E-1,3.282637000E-1
3.229155550E0,-4.154647291E-1,9.424123764E-1,2.439643145E-1
3.239155550E0,-3.501021564E-1,8.165740967E-1,1.957059503E-1
3.249155550E0,-2.419789881E-1,6.809620261E-1,1.621083617E-1
3.259155550E0,-1.033125818E-1,5.587889552E-1,1.382846236E-1
3.269155550E0,4.268420860E-2,4.659374654E-1,6.986771524E-2
3.279155550E0,2.149482071E-1,3.077233732E-1,-4.192062840E-2
3.289155550E0,4.092033505E-1,9.819658846E-2,-1.775327176E-1
3.299155516E0,5.845217109E-1,-8.628471941E-2,-3.174208403E-1
3.309155549E0,7.042512894E-1,-1.931861341E-1,-4.530329406E-1
3.319155549E0,7.745007873E-1,-2.353358418E-1,-5.819255114E-1
3.329155549E0,8.129853010E-1,-2.426662147E-1,-6.949355602E-1
3.339155549E0,8.478046060E-1,-2.304489166E-1,-7.871762514E-1
3.349155549E0,8.850674033E-1,-1.907426715E-1,-8.464301825E-1
3.359155515E0,9.266062379E-1,-9.483683109E-2,-8.623126745E-1
3.369155515E0,9.583712220E-1,6.643159688E-2,-8.305476308E-1
3.379155515E0,9.467647672E-1,2.637410760E-1,-7.694611549E-1
3.389155515E0,8.630762100E-1,4.415028691E-1,-6.979898810E-1
3.399155515E0,7.329619527E-1,5.190827250E-1,-6.075818539E-1
3.409155515E0,6.333909035E-1,4.622722864E-1,-5.025130510E-1
3.419155515E0,5.979607105E-1,3.236058652E-1,-3.675118089E-1
